City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Bengkulu,-3.8004,102.2655,75.31,88,77,2.86,ID,2022-09-25 15:15:39
68,Nanortalik,60.1432,-45.2371,52.92,77,94,19.86,GL,2022-09-25 15:15:39
69,Khatanga,71.9667,102.5,23.54,97,100,6.38,RU,2022-09-25 15:15:39
70,Hobart,-42.8794,147.3294,47.05,91,52,5.75,AU,2022-09-25 15:11:05
71,Airai,-8.9266,125.4092,59.49,75,44,2.37,TL,2022-09-25 15:15:40
72,Atuona,-9.8,-139.0333,76.41,77,72,19.98,PF,2022-09-25 15:15:41
73,Praia,14.9215,-23.5087,86.54,58,20,12.66,CV,2022-09-25 15:15:42
74,Kogon,39.7228,64.5517,75.24,41,0,2.3,UZ,2022-09-25 15:15:42
75,New Norfolk,-42.7826,147.0587,47.71,80,70,2.86,AU,2022-09-25 15:15:42
76,Tiksi,71.6872,128.8694,32.79,83,89,21.77,RU,2022-09-25 15:15:43
77,Tuatapere,-46.1333,167.6833,49.06,93,99,0.65,NZ,2022-09-25 15:15:43
78,Marovoay,-16.1,46.6333,90.1,29,62,10.07,MG,2022-09-25 15:15:44
79,Saint-Philippe,-21.3585,55.7679,71.19,81,36,13.53,RE,2022-09-25 15:15:44
80,Bethel,41.3712,-73.414,66.52,72,20,4.61,US,2022-09-25 15:15:44
81,Longyearbyen,78.2186,15.6401,44.44,76,75,10.36,SJ,2022-09-25 15:15:45
82,Klaksvik,62.2266,-6.589,47.32,79,35,35.77,FO,2022-09-25 15:15:46
83,Port Macquarie,-31.4333,152.9167,53.89,91,4,4.94,AU,2022-09-25 15:15:47
84,Hilo,19.7297,-155.09,77.29,95,100,5.75,US,2022-09-25 15:15:48
85,Balkhash,46.844,74.9804,66.63,40,0,8.19,KZ,2022-09-25 15:15:49
86,Fort Nelson,58.8053,-122.7002,38.79,81,100,0.0,CA,2022-09-25 15:15:22
87,Saldanha,-33.0117,17.9442,64.45,72,100,8.99,ZA,2022-09-25 15:15:49
88,Geraldton,-28.7667,114.6,52.21,87,0,9.22,AU,2022-09-25 15:15:50
89,Ubinskoye,55.3068,79.6802,40.44,92,100,13.87,RU,2022-09-25 15:15:50
90,Whitianga,-36.8333,175.7,55.29,84,67,8.79,NZ,2022-09-25 15:15:51
91,Port Alfred,-33.5906,26.891,64.18,83,85,5.01,ZA,2022-09-25 15:15:51
92,Tumbagaan,5.3656,120.3139,79.77,84,98,9.53,PH,2022-09-25 15:15:51
93,Sola,-13.8833,167.55,75.87,100,100,0.0,VU,2022-09-25 15:16:52
94,Saint-Francois,46.4154,3.9054,57.67,88,100,5.75,FR,2022-09-25 15:16:52
95,Nhulunbuy,-12.2333,136.7667,75.81,88,91,3.44,AU,2022-09-25 15:16:53
96,Lhokseumawe,5.1801,97.1507,79.23,84,100,4.88,ID,2022-09-25 15:16:53
97,Mariinskiy Posad,56.115,47.718,49.14,85,100,4.36,RU,2022-09-25 15:16:54
98,Cabo San Lucas,22.8909,-109.9124,85.51,76,0,4.61,MX,2022-09-25 15:16:54
99,Talnakh,69.4865,88.3972,25.21,78,14,4.18,RU,2022-09-25 15:16:54
100,Mount Isa,-20.7333,139.5,58.77,44,0,0.0,AU,2022-09-25 15:16:55
101,General Jose Eduvigis Diaz,-27.1667,-58.4167,77.09,38,85,5.17,PY,2022-09-25 15:16:55
102,Saint George,37.1041,-113.5841,66.79,32,0,5.75,US,2022-09-25 15:07:04
103,Labuhan,-6.8844,112.2051,81.77,73,100,5.39,ID,2022-09-25 15:16:56
104,Merauke,-8.4667,140.3333,78.55,88,100,11.16,ID,2022-09-25 15:16:56
105,Pevek,69.7008,170.3133,29.44,74,26,4.72,RU,2022-09-25 15:16:57
106,Zhigansk,66.7697,123.3711,30.24,95,100,7.47,RU,2022-09-25 15:16:57
107,Vaini,-21.2,-175.2,75.36,94,75,4.61,TO,2022-09-25 15:16:58
108,Rocha,-34.4833,-54.3333,64.98,42,100,11.01,UY,2022-09-25 15:16:58
109,Denpasar,-8.65,115.2167,80.26,88,40,6.91,ID,2022-09-25 15:16:58
110,Morondava,-20.2833,44.2833,77.61,76,0,13.65,MG,2022-09-25 15:16:59
111,Saskylakh,71.9167,114.0833,30.38,89,100,13.44,RU,2022-09-25 15:16:59
112,Dikson,73.5069,80.5464,32.85,83,100,21.41,RU,2022-09-25 15:17:00
113,Puri,19.8,85.85,79.32,76,89,7.47,IN,2022-09-25 15:17:00
114,Umm Lajj,25.0213,37.2685,90.34,51,98,4.85,SA,2022-09-25 15:17:01
115,Khorixas,-20.3667,14.9667,83.21,11,9,20.0,NA,2022-09-25 15:17:01
116,Chuy,-33.6971,-53.4616,63.73,56,83,12.1,UY,2022-09-25 15:17:02
117,Beruwala,6.4788,79.9828,80.11,86,36,7.27,LK,2022-09-25 15:17:02
118,Comodoro Rivadavia,-45.8667,-67.5,55.26,44,0,13.8,AR,2022-09-25 15:12:31
119,Doha,25.2867,51.5333,94.98,63,0,13.8,QA,2022-09-25 15:14:26
120,Chokurdakh,70.6333,147.9167,30.27,80,98,8.84,RU,2022-09-25 15:17:03
121,Pekan,3.4836,103.3996,80.71,80,100,5.99,MY,2022-09-25 15:17:03
122,Baijiantan,45.6333,85.1833,77.76,19,0,7.05,CN,2022-09-25 15:17:03
123,Codrington,-38.2667,141.9667,50.67,84,100,4.7,AU,2022-09-25 15:17:04
124,Sangar,63.9242,127.4739,33.66,99,100,0.72,RU,2022-09-25 15:17:04
125,Coolum Beach,-26.5333,153.1,61.34,97,1,1.97,AU,2022-09-25 15:17:05
126,Vao,-22.6667,167.4833,73.18,82,0,11.65,NC,2022-09-25 15:17:05
