Index,date,prcp,tobs
188,2016-06-13,0.0,80.0
189,2016-06-14,0.0,79.0
190,2016-06-15,0.01,78.0
191,2016-06-16,0.02,77.0
192,2016-06-17,0.02,76.0
193,2016-06-18,0.0,77.0
194,2016-06-19,0.01,77.0
195,2016-06-20,0.01,78.0
196,2016-06-21,0.0,80.0
197,2016-06-22,0.0,79.0
198,2016-06-23,0.0,79.0
199,2016-06-24,0.01,77.0
200,2016-06-25,0.03,78.0
201,2016-06-26,0.01,79.0
202,2016-06-27,0.01,80.0
203,2016-06-28,0.0,76.0
204,2016-06-29,0.0,79.0
205,2016-06-30,0.0,80.0
206,2017-06-01,0.0,79.0
207,2017-06-02,0.0,79.0
208,2017-06-03,0.02,79.0
209,2017-06-04,0.0,79.0
210,2017-06-05,0.0,80.0
211,2017-06-06,0.0,79.0
212,2017-06-07,0.0,79.0
213,2017-06-08,0.0,80.0
214,2017-06-09,0.0,80.0
215,2017-06-10,0.04,77.0
216,2017-06-11,0.08,79.0
217,2017-06-12,0.02,83.0
218,2017-06-13,0.0,80.0
219,2017-06-14,0.0,80.0
220,2017-06-15,0.0,78.0
221,2017-06-16,0.0,79.0
222,2017-06-17,0.0,80.0
223,2017-06-18,0.05,77.0
224,2017-06-19,0.0,80.0
225,2017-06-20,0.02,78.0
226,2017-06-21,0.0,79.0
227,2017-06-22,0.0,80.0
228,2017-06-23,0.0,78.0
229,2017-06-24,0.06,80.0
230,2017-06-25,0.0,80.0
231,2017-06-26,0.0,81.0
232,2017-06-27,0.0,80.0
233,2017-06-28,0.0,79.0
234,2017-06-29,0.0,79.0
235,2017-06-30,0.08,75.0
236,2010-06-01,0.03,74.0
237,2010-06-02,0.0,76.0
238,2010-06-03,0.0,75.0
239,2010-06-04,0.0,75.0
240,2010-06-05,0.0,74.0
241,2010-06-06,0.0,75.0
242,2010-06-07,0.02,75.0
243,2010-06-08,0.0,75.0
244,2010-06-09,0.0,75.0
245,2010-06-10,0.02,75.0
246,2010-06-11,0.0,83.0
247,2010-06-12,0.0,75.0
248,2010-06-13,0.01,76.0
249,2010-06-14,0.06,73.0
250,2010-06-15,0.0,74.0
251,2010-06-16,0.01,74.0
252,2010-06-17,0.02,75.0
253,2010-06-18,0.06,70.0
254,2010-06-19,0.13,74.0
255,2010-06-20,0.02,75.0
256,2010-06-21,0.01,75.0
257,2010-06-22,0.0,75.0
258,2010-06-23,0.0,75.0
259,2010-06-24,0.01,75.0
260,2010-06-25,0.05,74.0
261,2010-06-26,0.24,72.0
262,2010-06-27,0.03,76.0
263,2010-06-28,0.11,73.0
264,2010-06-29,0.0,75.0
265,2010-06-30,0.03,76.0
266,2011-06-01,0.03,74.0
