Index,date,prcp,tobs
188,2016-12-10,0.05,70.0
189,2016-12-11,0.04,70.0
190,2016-12-12,0.01,66.0
191,2016-12-13,0.05,67.0
192,2016-12-14,0.03,70.0
193,2016-12-15,0.0,66.0
194,2016-12-16,0.0,62.0
195,2016-12-17,0.01,71.0
196,2016-12-18,0.13,73.0
197,2016-12-19,0.01,69.0
198,2016-12-20,0.0,77.0
199,2016-12-21,0.0,74.0
200,2016-12-22,0.01,71.0
201,2016-12-23,0.01,72.0
202,2016-12-24,0.01,74.0
203,2016-12-25,0.0,74.0
204,2016-12-26,0.02,74.0
205,2016-12-27,0.0,74.0
206,2016-12-28,0.02,71.0
207,2016-12-29,0.04,73.0
208,2016-12-30,0.12,69.0
209,2016-12-31,0.01,66.0
210,2010-12-01,0.76,73.0
211,2010-12-02,0.13,72.0
212,2010-12-03,0.16,73.0
213,2010-12-04,0.0,74.0
214,2010-12-05,0.0,73.0
215,2010-12-06,0.0,66.0
216,2010-12-07,0.0,64.0
217,2010-12-08,0.0,66.0
218,2010-12-09,0.0,75.0
219,2010-12-10,1.95,65.0
220,2010-12-11,0.62,69.0
221,2010-12-12,0.15,71.0
222,2010-12-13,0.47,69.0
223,2010-12-14,0.0,78.0
224,2010-12-15,0.0,74.0
225,2010-12-16,0.0,68.0
226,2010-12-17,0.0,68.0
227,2010-12-18,0.0,70.0
228,2010-12-19,3.18,70.0
229,2010-12-20,4.94,71.0
230,2010-12-21,0.43,71.0
231,2010-12-22,0.01,71.0
232,2010-12-23,0.02,71.0
233,2010-12-24,0.0,69.0
234,2010-12-25,2.95,69.0
235,2010-12-26,0.99,72.0
236,2010-12-27,0.46,76.0
237,2010-12-28,0.63,72.0
238,2010-12-29,0.02,73.0
239,2010-12-30,0.11,73.0
240,2010-12-31,0.05,74.0
241,2011-12-01,0.11,69.0
242,2011-12-02,0.14,68.0
243,2011-12-03,0.03,74.0
244,2011-12-04,0.01,73.0
245,2011-12-05,0.0,73.0
246,2011-12-06,0.0,72.0
247,2011-12-07,0.04,71.0
248,2011-12-08,0.08,71.0
249,2011-12-09,0.07,68.0
250,2011-12-10,0.11,72.0
251,2011-12-11,0.76,71.0
252,2011-12-12,0.58,72.0
253,2011-12-13,1.55,71.0
254,2011-12-14,0.05,71.0
255,2011-12-15,0.02,72.0
256,2011-12-16,0.0,71.0
257,2011-12-17,0.02,71.0
258,2011-12-18,0.11,72.0
259,2011-12-19,0.05,72.0
260,2011-12-20,0.02,72.0
261,2011-12-21,0.24,69.0
262,2011-12-22,0.06,71.0
263,2011-12-23,0.02,71.0
264,2011-12-24,0.02,69.0
265,2011-12-25,0.05,74.0
266,2011-12-26,0.0,72.0
267,2011-12-27,0.0,71.0
268,2011-12-28,0.03,71.0
269,2011-12-29,0.01,72.0
270,2011-12-30,0.02,71.0
271,2011-12-31,0.04,67.0
272,2012-12-01,0.0,65.0
273,2012-12-02,0.0,70.0
274,2012-12-03,0.0,76.0
275,2012-12-04,0.18,68.0
276,2012-12-05,0.07,71.0
277,2012-12-06,0.0,71.0
278,2012-12-07,0.0,68.0
279,2012-12-08,0.0,70.0
280,2012-12-09,0.0,73.0
281,2012-12-10,0.03,73.0
282,2012-12-11,0.0,72.0
283,2012-12-12,0.07,71.0
284,2012-12-13,0.1,70.0
285,2012-12-14,0.08,72.0
286,2012-12-15,0.1,71.0
287,2012-12-16,0.04,72.0
288,2012-12-17,0.02,72.0
289,2012-12-18,0.2,71.0
290,2012-12-19,0.24,70.0
291,2012-12-20,0.08,71.0
292,2012-12-21,0.06,71.0
293,2012-12-22,0.07,71.0
294,2012-12-23,0.02,66.0
295,2012-12-24,0.0,65.0
296,2012-12-25,0.0,73.0
297,2012-12-26,0.01,72.0
298,2012-12-27,0.0,72.0
299,2012-12-28,0.0,65.0
300,2012-12-29,0.0,65.0
301,2012-12-30,0.21,68.0
302,2012-12-31,0.17,67.0
303,2013-12-01,0.0,76.0
304,2013-12-02,0.93,70.0
305,2013-12-03,0.8,71.0
306,2013-12-04,0.0,69.0
307,2013-12-05,0.0,67.0
308,2013-12-06,0.0,69.0
309,2013-12-07,0.0,71.0
310,2013-12-08,0.0,69.0
311,2013-12-09,0.0,72.0
312,2013-12-10,0.01,76.0
313,2013-12-11,0.13,75.0
314,2013-12-12,0.0,72.0
315,2013-12-13,0.01,75.0
316,2013-12-14,0.0,71.0
317,2013-12-15,0.0,69.0
318,2013-12-16,1.31,68.0
319,2013-12-17,0.01,68.0
320,2013-12-18,0.01,72.0
321,2013-12-19,1.0,70.0
322,2013-12-20,0.41,72.0
323,2013-12-21,0.01,75.0
324,2013-12-22,0.02,69.0
325,2013-12-23,0.02,72.0
326,2013-12-24,0.01,73.0
327,2013-12-25,0.02,73.0
328,2013-12-26,0.02,72.0
329,2013-12-27,0.0,73.0
330,2013-12-28,0.02,74.0
331,2013-12-29,0.03,73.0
332,2013-12-30,0.0,72.0
333,2013-12-31,0.09,68.0
334,2014-12-01,0.0,72.0
335,2014-12-02,0.0,71.0
336,2014-12-03,0.05,69.0
337,2014-12-04,1.35,67.0
338,2014-12-05,0.01,70.0
339,2014-12-06,0.0,72.0
340,2014-12-07,0.0,67.0
341,2014-12-08,0.0,67.0
342,2014-12-09,0.0,69.0
343,2014-12-10,0.0,67.0
344,2014-12-11,0.05,74.0
345,2014-12-12,0.12,70.0
346,2014-12-13,0.03,73.0
347,2014-12-14,0.11,71.0
348,2014-12-15,0.0,71.0
349,2014-12-16,0.03,71.0
350,2014-12-17,0.14,71.0
351,2014-12-18,0.09,72.0
352,2014-12-19,0.01,76.0
353,2014-12-20,0.0,78.0
354,2014-12-21,0.0,76.0
355,2014-12-22,0.0,73.0
356,2014-12-23,1.1,70.0
357,2014-12-24,1.24,68.0
358,2014-12-25,0.09,77.0
359,2014-12-26,0.0,66.0
360,2014-12-27,0.0,65.0
361,2014-12-28,0.0,69.0
362,2014-12-29,0.0,69.0
363,2014-12-30,0.0,66.0
364,2014-12-31,0.72,64.0
365,2015-12-02,0.03,74.0
366,2015-12-03,0.08,75.0
367,2015-12-04,0.01,80.0
368,2015-12-05,0.28,72.0
369,2015-12-06,0.52,73.0
370,2015-12-07,0.0,70.0
371,2015-12-08,0.08,69.0
372,2015-12-09,0.1,77.0
373,2015-12-10,0.08,74.0
374,2015-12-11,0.0,77.0
375,2015-12-12,0.62,72.0
376,2015-12-13,0.0,69.0
377,2015-12-14,0.69,69.0
378,2015-12-15,0.24,75.0
379,2015-12-16,0.08,75.0
380,2015-12-17,0.13,72.0
381,2015-12-18,0.28,73.0
382,2015-12-19,0.36,78.0
383,2015-12-20,0.2,75.0
384,2015-12-21,0.03,75.0
385,2015-12-22,0.01,74.0
386,2015-12-23,0.11,73.0
387,2015-12-24,0.0,70.0
388,2015-12-25,0.52,70.0
389,2015-12-26,0.19,72.0
390,2015-12-27,0.25,74.0
391,2015-12-28,0.4,74.0
392,2015-12-29,0.11,67.0
393,2015-12-30,0.03,74.0
394,2015-12-31,0.06,70.0
395,2016-12-01,0.33,73.0
396,2016-12-02,0.3,71.0
